Customer_ID ,Own,Intermediary,AutoPartner,InsurancePartner,Acquisition,IRR,Internal_Risk,Credit_Score,Approved_Date,NewCar,UsedCar,Refinance,Loan_Type,Amount,Term,Offered_Rate,Refinance,Competitor,Prime,Offered_competitor,Offered_prime
7232,1,0,0,0,Own,1,Very Low,771,2017-09-30,1,0,0,New Car,12549.8,72,6.19,,6.19,2.757,0.00,3.433
7233,0,1,0,0,Intermediary,3,High,696,2017-09-30,0,1,0,Used Car,17820,60,9.65,,5.89,2.757,3.76,6.893
7234,0,1,0,0,Intermediary,1,Very Low,789,2017-09-30,1,0,0,New Car,45000,60,5.49,,5.49,2.757,0.00,2.733
7235,0,0,0,1,Insurance Partner,1,Very Low,804,2017-09-30,1,0,0,New Car,45000,60,5.49,,5.49,2.757,0.00,2.733
7236,1,0,0,0,Own,3,High,691,2017-09-30,0,0,1,Refinance,8580,48,10.85,12.99,6.49,2.757,4.36,8.093
7237,1,0,0,0,Own,1,Very Low,796,2017-09-30,0,0,1,Refinance,11452,36,5.99,7.99,5.99,2.757,0.00,3.233
7238,1,0,0,0,Own,4,Very High,664,2017-09-30,0,1,0,Used Car,29700,60,11.95,,5.89,2.757,6.06,9.193
7239,0,0,0,1,Insurance Partner,1,Very Low,829,2017-09-30,0,1,0,Used Car,13334,36,5.39,,5.39,2.757,0.00,2.633
7240,0,0,1,0,Auto Partner,3,High,695,2017-09-30,0,0,1,Refinance,20443,60,10.85,6.04,6.49,2.757,4.36,8.093
7241,1,0,0,0,Own,3,High,689,2017-09-30,1,0,0,New Car,40000,60,9.55,,5.49,2.757,4.06,6.793
7242,1,0,0,0,Own,1,Very Low,766,2017-09-30,0,1,0,Used Car,28215,48,5.89,,5.89,2.757,0.00,3.133
7243,0,0,0,1,Insurance Partner,1,Very Low,814,2017-09-30,1,0,0,New Car,35000,60,5.09,,5.49,2.757,-0.40,2.333
7244,0,0,0,1,Insurance Partner,1,Very Low,795,2017-09-30,1,0,0,New Car,30000,60,5.49,,5.49,2.757,0.00,2.733
7245,1,0,0,0,Own,2,Low,721,2017-09-30,0,1,0,Used Car,21780,60,7.44,,5.89,2.757,1.55,4.683
7246,1,0,0,0,Own,2,Low,704,2017-09-30,1,0,0,New Car,37000,60,7.39,,5.49,2.757,1.90,4.633
7247,1,0,0,0,Own,4,Very High,638,2017-09-30,0,1,0,Used Car,14481,60,11.95,,5.89,2.757,6.06,9.193
7248,1,0,0,0,Own,2,Low,706,2017-09-30,0,1,0,Used Car,14801,48,7.44,,5.89,2.757,1.55,4.683
7249,1,0,0,0,Own,1,Very Low,790,2017-09-30,1,0,0,New Car,29764,36,4.65,,4.75,2.757,-0.10,1.893
7250,0,1,0,0,Intermediary,1,Very Low,751,2017-09-30,0,0,1,Refinance,15988,60,6.49,8.00,6.49,2.757,0.00,3.733
7251,0,1,0,0,Intermediary,2,Low,731,2017-09-30,1,0,0,New Car,20000,36,7.34,,4.75,2.757,2.59,4.583
7252,0,0,1,0,Auto Partner,3,High,667,2017-09-30,0,0,1,Refinance,21767,72,10.68,12.15,7.29,2.757,3.39,7.923
7253,1,0,0,0,Own,3,High,694,2017-09-30,0,1,0,Used Car,26730,60,9.65,,5.89,2.757,3.76,6.893
7254,1,0,0,0,Own,1,Very Low,792,2017-09-30,1,0,0,New Car,25000,60,5.49,,5.49,2.757,0.00,2.733
7255,0,1,0,0,Intermediary,1,Very Low,750,2017-09-30,0,0,1,Refinance,25400,36,5.89,9.40,5.99,2.757,-0.10,3.133
7256,0,0,1,0,Auto Partner,1,Very Low,754,2017-09-30,0,0,1,Refinance,26078,60,6.02,7.49,6.49,2.757,-0.47,3.263
7257,1,0,0,0,Own,2,Low,708,2017-09-30,1,0,0,New Car,35000,60,7.39,,5.49,2.757,1.90,4.633
7258,0,1,0,0,Intermediary,2,Low,719,2017-09-30,0,0,1,Refinance,15589,60,8.09,9.90,6.49,2.757,1.60,5.333
7259,1,0,0,0,Own,1,Very Low,824,2017-09-30,0,1,0,Used Car,19800,60,5.89,,5.89,2.757,0.00,3.133
7260,1,0,0,0,Own,2,Low,708,2017-09-30,0,1,0,Used Car,19305,60,7.44,,5.89,2.757,1.55,4.683
7261,0,0,0,1,Insurance Partner,1,Very Low,779,2017-09-30,0,0,1,Refinance,14897,60,6.49,8.39,6.49,2.757,0.00,3.733
7262,1,0,0,0,Own,3,High,790,2017-09-30,0,1,0,Used Car,6645,48,5.59,,5.89,2.757,-0.30,2.833
7263,1,0,0,0,Own,1,Very Low,781,2017-09-30,0,1,0,Used Car,7405,60,5.89,,5.89,2.757,0.00,3.133
7264,0,1,0,0,Intermediary,2,Low,712,2017-09-30,1,0,0,New Car,22000,60,7.39,,5.49,2.757,1.90,4.633
7265,0,1,0,0,Intermediary,1,Very Low,782,2017-09-30,0,0,1,Refinance,15840,48,6.39,9.00,6.49,2.757,-0.10,3.633
7266,0,0,1,0,Auto Partner,3,High,678,2017-09-30,0,0,1,Refinance,27720,72,8.52,9.99,7.29,2.757,1.23,5.763
7267,1,0,0,0,Own,1,Very Low,810,2017-09-30,1,0,0,New Car,46000,48,5.49,,5.49,2.757,0.00,2.733
7268,0,0,1,0,Auto Partner,1,Very Low,810,2017-09-30,0,0,1,Refinance,21067,60,5.75,7.14,6.49,2.757,-0.74,2.993
7269,0,1,0,0,Intermediary,4,Very High,658,2017-09-30,0,0,1,Refinance,13320,72,10.28,11.75,7.29,2.757,2.99,7.523
7270,1,0,0,0,Own,1,Very Low,781,2017-09-30,1,0,0,New Car,20702.74,48,5.49,,5.49,2.757,0.00,2.733
7271,0,0,1,0,Auto Partner,1,Very Low,743,2017-09-30,0,0,1,Refinance,14534,60,6.49,9.99,6.49,2.757,0.00,3.733
7272,0,0,0,1,Insurance Partner,2,Low,715,2017-09-30,0,1,0,Used Car,33380,72,8.09,,6.75,2.757,1.34,5.333
7273,0,1,0,0,Intermediary,4,Very High,668,2017-09-30,0,1,0,Used Car,7920,60,11.95,,5.89,2.757,6.06,9.193
7274,0,1,0,0,Intermediary,1,Very Low,786,2017-09-30,0,0,1,Refinance,19159,48,6.49,11.75,6.49,2.757,0.00,3.733
7275,0,1,0,0,Intermediary,1,Very Low,749,2017-09-30,1,0,0,New Car,25000,72,6.09,,6.19,2.757,-0.10,3.333
7276,0,0,1,0,Auto Partner,2,Low,717,2017-09-30,0,0,1,Refinance,21429,48,7.19,8.00,6.49,2.757,0.70,4.433
7277,1,0,0,0,Own,2,Low,640,2017-09-30,0,1,0,Used Car,22530,72,8.09,,6.75,2.757,1.34,5.333
7278,1,0,0,0,Own,1,Very Low,783,2017-09-30,1,0,0,New Car,26735,36,4.75,,4.75,2.757,0.00,1.993
7279,0,0,1,0,Auto Partner,2,Low,722,2017-09-30,0,0,1,Refinance,22848,60,7.43,8.90,6.49,2.757,0.94,4.673
7280,0,0,1,0,Auto Partner,2,Low,706,2017-09-30,0,0,1,Refinance,35887,72,7.53,9.00,7.29,2.757,0.24,4.773
7281,0,0,1,0,Auto Partner,3,High,714,2017-09-30,0,0,1,Refinance,14850,60,8.09,5.90,6.49,2.757,1.60,5.333
7282,1,0,0,0,Own,1,Very Low,777,2017-09-30,1,0,0,New Car,36196,60,5.49,,5.49,2.757,0.00,2.733
7283,1,0,0,0,Own,1,Very Low,799,2017-09-30,0,1,0,Used Car,38610,60,5.89,,5.89,2.757,0.00,3.133
7284,0,0,0,1,Insurance Partner,2,Low,702,2017-09-30,1,0,0,New Car,34999.99,60,7.29,,5.49,2.757,1.80,4.533
7285,0,0,0,1,Insurance Partner,3,High,693,2017-09-30,1,0,0,New Car,27000,72,9.75,,6.19,2.757,3.56,6.993
