Customer_ID ,Own,AutoPartner,InsurancePartner,Intermediary,IRR,Credit_Score,Approved_Date,NewCar,UsedCar,Refinance,Amount,Term,Offered_Rate,Refinance,Competitor,Prime,Accepted,Funded_Date,Offered_competitor,Offered_prime
1,0,0,0,1,1,788,2017-09-01,1,0,0,42000,36,4.95,,3.99,2.6,0,,0.96,2.35
2,1,0,0,0,1,824,2017-09-01,0,1,0,13583,36,5.65,,5.65,2.6,1,2017-09-21,0,3.05
3,0,1,0,0,1,699,2017-09-01,0,0,1,17078,48,6.49,8.79,6.49,2.6,0,,0,3.89
4,0,0,0,1,1,779,2017-09-01,1,0,0,34000,60,5.49,,5.59,2.6,0,,-0.1,2.89
5,0,0,1,0,2,718,2017-09-01,0,0,1,11341,60,7.19,8.25,6.49,2.6,1,2017-09-29,0.7,4.59
6,0,0,1,0,1,731,2017-09-01,0,0,1,30180,60,5.75,7,6.49,2.6,1,2017-10-12,-0.74,3.15
7,0,0,1,0,1,777,2017-09-01,1,0,0,50000,60,5.24,,5.59,2.6,0,,-0.35,2.64
8,0,0,0,1,2,728,2017-09-01,0,1,0,7178,48,7.19,,6.15,2.6,1,2017-09-11,1.04,4.59
9,0,0,0,1,1,755,2017-09-01,0,0,1,16844,48,6.49,11.9,6.49,2.6,0,,0,3.89
10,0,0,1,0,3,751,2017-09-01,0,0,1,16427,72,7.29,7.95,7.29,2.6,0,,0,4.69
11,0,0,1,0,1,759,2017-09-01,1,0,0,29998,60,5.49,,5.59,2.6,0,,-0.1,2.89
12,1,0,0,0,3,681,2017-09-01,0,1,0,21679,72,10.25,,6.89,2.6,1,2017-09-15,3.36,7.65
13,0,0,1,0,1,819,2017-09-01,1,0,0,32000,72,6.14,,6.39,2.6,0,,-0.25,3.54
14,0,0,1,0,3,690,2017-09-01,1,0,0,36400,60,7.39,,5.59,2.6,0,,1.8,4.79
15,1,0,0,0,3,775,2017-09-01,0,0,1,15839,48,7.39,10,6.49,2.6,0,,0.9,4.79
16,0,0,1,0,4,653,2017-09-01,1,0,0,30000,60,11.85,,5.59,2.6,0,,6.26,9.25
17,0,0,1,0,1,809,2017-09-01,1,0,0,45000,60,5.49,,5.59,2.6,0,,-0.1,2.89
18,0,0,0,1,4,648,2017-09-01,1,0,0,32000,60,11.85,,5.59,2.6,0,,6.26,9.25
19,0,0,0,1,1,758,2017-09-01,1,0,0,45000,60,5.49,,5.59,2.6,0,,-0.1,2.89
20,1,0,0,0,4,646,2017-09-01,0,0,1,10890,72,8.23,9.7,7.29,2.6,1,2017-09-28,0.94,5.63
21,0,0,1,0,4,628,2017-09-01,0,0,1,20143,60,10.03,11.5,6.49,2.6,0,,3.54,7.43
22,1,0,0,0,4,662,2017-09-01,0,1,0,24750,48,11.95,,6.15,2.6,0,,5.8,9.35
23,1,0,0,0,1,828,2017-09-01,1,0,0,9000,36,4.95,,3.99,2.6,1,2017-09-08,0.96,2.35
24,0,0,0,1,1,820,2017-09-01,0,0,1,13351,48,6.39,11,6.49,2.6,0,,-0.1,3.79
25,0,0,1,0,2,728,2017-09-01,1,0,0,38000,60,7.29,,5.59,2.6,0,,1.7,4.69
26,1,0,0,0,3,674,2017-09-01,0,1,0,13729,60,9.65,,6.15,2.6,1,2017-10-05,3.5,7.05
27,0,0,1,0,1,782,2017-09-01,1,0,0,9249,36,3.99,,3.99,2.6,1,2017-09-15,0,1.39
28,1,0,0,0,3,680,2017-09-01,0,1,0,15840,60,9.65,,6.15,2.6,1,2017-09-19,3.5,7.05
29,0,0,1,0,1,743,2017-09-01,1,0,0,29000,72,6.39,,6.39,2.6,0,,0,3.79
30,0,1,0,0,1,747,2017-09-01,0,0,1,12307,60,6.49,8,6.49,2.6,1,2017-09-21,0,3.89
31,0,0,0,1,1,810,2017-09-01,0,1,0,14850,36,5.65,,5.65,2.6,0,,0,3.05
32,0,0,1,0,1,773,2017-09-01,1,0,0,38000,72,6.39,,6.39,2.6,0,,0,3.79
33,0,0,0,1,4,650,2017-09-01,1,0,0,28391,72,12.15,,6.39,2.6,0,,5.76,9.55
34,0,0,1,0,2,716,2017-09-01,1,0,0,35000,60,7.39,,5.59,2.6,0,,1.8,4.79
35,1,0,0,0,3,696,2017-09-01,1,0,0,20000,72,9.75,,6.39,2.6,0,,3.36,7.15
36,0,0,1,0,1,764,2017-09-01,0,0,1,12885,60,5.75,6,6.49,2.6,0,,-0.74,3.15
37,1,0,0,0,4,660,2017-09-01,0,0,1,32826,72,10.53,12,7.29,2.6,1,2017-10-04,3.24,7.93
38,1,0,0,0,1,792,2017-09-01,0,0,1,16294,60,6.49,8.99,6.49,2.6,0,,0,3.89
39,0,0,0,1,4,653,2017-09-01,1,0,0,20000,60,11.85,,5.59,2.6,0,,6.26,9.25
40,0,0,0,1,1,772,2017-09-01,1,0,0,36000,60,5.49,,5.59,2.6,0,,-0.1,2.89
41,0,0,0,1,2,707,2017-09-01,1,0,0,35000,72,7.79,,6.39,2.6,0,,1.4,5.19
42,1,0,0,0,2,698,2017-09-01,0,0,1,11298,36,7.89,9.99,6.05,2.6,1,2017-09-14,1.84,5.29
43,0,0,1,0,3,751,2017-09-01,1,0,0,35000,72,6.39,,6.39,2.6,0,,0,3.79
44,0,1,0,0,1,758,2017-09-01,0,0,1,31409,72,6.68,8.15,7.29,2.6,1,2017-10-02,-0.61,4.08
45,0,0,1,0,3,678,2017-09-01,0,1,0,7126,60,9.65,,6.15,2.6,1,2017-09-19,3.5,7.05
46,0,0,0,1,4,651,2017-09-01,1,0,0,30199,60,11.85,,5.59,2.6,0,,6.26,9.25
47,1,0,0,0,1,750,2017-09-01,0,1,0,14379,60,6.05,,6.15,2.6,1,2017-09-07,-0.1,3.45
48,0,0,1,0,2,702,2017-09-01,0,1,0,59400,60,6.2,,6.15,2.6,0,,0.05,3.6
49,1,0,0,0,1,814,2017-09-01,1,0,0,28000,48,5.59,,5.59,2.6,0,,0,2.99
50,1,0,0,0,1,801,2017-09-01,0,1,0,34650,60,6.05,,6.15,2.6,0,,-0.1,3.45
51,1,0,0,0,2,704,2017-09-01,0,1,0,29700,60,7.44,,6.15,2.6,0,,1.29,4.84
52,0,0,1,0,2,729,2017-09-02,1,0,0,25000,60,7.39,,5.59,2.6,0,,1.8,4.79
53,1,0,0,0,4,670,2017-09-01,0,1,0,6930,60,11.95,,6.15,2.6,1,2017-09-27,5.8,9.35
54,0,0,1,0,4,656,2017-09-01,0,0,1,17820,72,8.33,9.8,7.29,2.6,1,2017-09-18,1.04,5.73
55,0,1,0,0,1,780,2017-09-01,0,0,1,24319,36,5.75,5.99,6.05,2.6,0,,-0.3,3.15
56,0,0,1,0,1,760,2017-09-01,0,1,0,29700,36,5.55,,5.65,2.6,0,,-0.1,2.95
57,1,0,0,0,2,724,2017-09-02,0,1,0,20410,60,7.44,,6.15,2.6,1,2017-09-08,1.29,4.84
58,0,0,1,0,1,715,2017-09-01,0,0,1,15496,36,8.19,15,6.05,2.6,0,,2.14,5.59
59,1,0,0,0,4,643,2017-09-01,1,0,0,12500,60,11.85,,5.59,2.6,0,,6.26,9.25
60,0,0,0,1,3,680,2017-09-01,1,0,0,20000,60,9.55,,5.59,2.6,0,,3.96,6.95
61,0,0,1,0,1,747,2017-09-01,0,1,0,17277,72,6.89,,6.89,2.6,1,2017-09-19,0,4.29
62,0,0,1,0,3,680,2017-09-01,0,1,0,29700,60,9.65,,6.15,2.6,0,,3.5,7.05
63,0,1,0,0,2,707,2017-09-01,0,0,1,14850,48,8.09,13,6.49,2.6,0,,1.6,5.49
64,0,0,0,1,2,723,2017-09-01,0,1,0,9081,36,5.05,,5.65,2.6,1,2017-09-07,-0.6,2.45
65,0,0,1,0,3,685,2017-09-01,1,0,0,20000,60,9.55,,5.59,2.6,0,,3.96,6.95
66,1,0,0,0,1,813,2017-09-01,0,1,0,4950,36,5.65,,5.65,2.6,1,2017-09-07,0,3.05
67,0,0,0,1,3,680,2017-09-01,0,1,0,18310,60,7.49,,6.15,2.6,1,2017-09-19,1.34,4.89
